date,time,买①委差,买①委比,买②委差,买②委比,买③委差,买③委比,买④委差,买④委比,买⑤委差,买⑤委比,卖①委差,卖①委比,卖②委差,卖②委比,卖③委差,卖③委比,卖④委差,卖④委比,卖⑤委差,卖⑤委比
2022-06-15,11:30:00,1.0,12.96,1.0,12.94,23.0,12.93,6.0,12.92,28.0,12.91,32.0,12.97,66.0,12.98,138.0,12.99,266.0,13.0,100.0,13.03
2022-06-15,13:00:00,1.0,12.96,1.0,12.94,23.0,12.93,6.0,12.92,28.0,12.91,32.0,12.97,66.0,12.98,138.0,12.99,266.0,13.0,98.0,13.03
2022-06-15,13:00:03,8.0,12.94,23.0,12.93,6.0,12.92,28.0,12.91,45.0,12.9,25.0,12.96,30.0,12.97,66.0,12.98,158.0,12.99,241.0,13.0
2022-06-15,13:00:06,1.0,12.95,8.0,12.94,23.0,12.93,6.0,12.92,29.0,12.91,5.0,12.96,30.0,12.97,66.0,12.98,158.0,12.99,295.0,13.0
2022-06-15,13:00:09,8.0,12.94,23.0,12.93,6.0,12.92,30.0,12.91,75.0,12.9,5.0,12.95,62.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03
2022-06-15,13:00:12,4.0,12.97,3.0,12.95,8.0,12.94,23.0,12.93,6.0,12.92,62.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03,46.0,13.04
2022-06-15,13:00:15,8.0,12.94,23.0,12.93,6.0,12.92,30.0,12.91,75.0,12.9,8.0,12.95,62.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03
2022-06-15,13:00:21,1.0,12.96,1.0,12.95,8.0,12.94,23.0,12.93,6.0,12.92,62.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03,46.0,13.04
2022-06-15,13:00:24,9.0,12.95,8.0,12.94,23.0,12.93,6.0,12.92,30.0,12.91,58.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03,46.0,13.04
2022-06-15,13:00:24,9.0,12.95,8.0,12.94,23.0,12.93,6.0,12.92,30.0,12.91,58.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03,46.0,13.04
2022-06-15,13:00:27,9.0,12.95,8.0,12.94,23.0,12.93,6.0,12.92,30.0,12.91,10.0,12.97,53.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03
2022-06-15,13:00:30,11.0,12.95,8.0,12.94,23.0,12.93,6.0,12.92,30.0,12.91,11.0,12.97,53.0,12.98,158.0,12.99,265.0,13.0,118.0,13.03
