name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
0,上海机电,12.830,12.910,12.960,13.030,12.830,12.960,12.970,1130100,14599111.000,1,12.960,1,12.940,23,12.930,6,12.920,28,12.910,32,12.970,66,12.980,138,12.990,266,13.000,100,13.030,2022-06-15,11:30:00,600835
0,上海机电,12.830,12.910,12.960,13.030,12.830,12.960,12.970,1130100,14599111.000,1,12.960,1,12.940,23,12.930,6,12.920,28,12.910,32,12.970,66,12.980,138,12.990,266,13.000,98,13.030,2022-06-15,13:00:00,600835
0,上海机电,12.830,12.910,12.960,13.030,12.830,12.940,12.960,1130200,14600407.000,8,12.940,23,12.930,6,12.920,28,12.910,45,12.900,25,12.960,30,12.970,66,12.980,158,12.990,241,13.000,2022-06-15,13:00:03,600835
0,上海机电,12.830,12.910,12.960,13.030,12.830,12.950,12.960,1132200,14626327.000,1,12.950,8,12.940,23,12.930,6,12.920,29,12.910,5,12.960,30,12.970,66,12.980,158,12.990,295,13.000,2022-06-15,13:00:06,600835
0,上海机电,12.830,12.910,12.950,13.030,12.830,12.940,12.950,1136700,14684679.000,8,12.940,23,12.930,6,12.920,30,12.910,75,12.900,5,12.950,62,12.980,158,12.990,265,13.000,118,13.030,2022-06-15,13:00:09,600835
0,上海机电,12.830,12.910,12.950,13.030,12.830,12.970,12.980,1137200,14691154.000,4,12.970,3,12.950,8,12.940,23,12.930,6,12.920,62,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:12,600835
0,上海机电,12.830,12.910,12.950,13.030,12.830,12.940,12.950,1138000,14701522.000,8,12.940,23,12.930,6,12.920,30,12.910,75,12.900,8,12.950,62,12.980,158,12.990,265,13.000,118,13.030,2022-06-15,13:00:15,600835
0,上海机电,12.830,12.910,12.950,13.030,12.830,12.960,12.980,1139500,14720947.000,1,12.960,1,12.950,8,12.940,23,12.930,6,12.920,62,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:21,600835
0,上海机电,12.830,12.910,12.980,13.030,12.830,12.950,12.980,1141200,14742987.000,9,12.950,8,12.940,23,12.930,6,12.920,30,12.910,58,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:24,600835
0,上海机电,12.830,12.910,12.980,13.030,12.830,12.950,12.980,1141200,14742987.000,9,12.950,8,12.940,23,12.930,6,12.920,30,12.910,58,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:24,600835
0,上海机电,12.830,12.910,12.970,13.030,12.830,12.950,12.970,1143400,14771526.000,9,12.950,8,12.940,23,12.930,6,12.920,30,12.910,10,12.970,53,12.980,158,12.990,265,13.000,118,13.030,2022-06-15,13:00:27,600835
0,上海机电,12.830,12.910,12.970,13.030,12.830,12.950,12.970,1143500,14772823.000,11,12.950,8,12.940,23,12.930,6,12.920,30,12.910,11,12.970,53,12.980,158,12.990,265,13.000,118,13.030,2022-06-15,13:00:30,600835
0,上海机电,12.830,12.910,12.970,13.030,12.830,12.950,12.970,1143700,14775417.000,11,12.950,8,12.940,23,12.930,6,12.920,30,12.910,9,12.970,53,12.980,158,12.990,265,13.000,118,13.030,2022-06-15,13:00:36,600835
0,上海机电,12.830,12.910,12.970,13.030,12.830,12.950,12.980,1144600,14787090.000,11,12.950,8,12.940,23,12.930,6,12.920,30,12.910,53,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:39,600835
0,上海机电,12.830,12.910,12.980,13.030,12.830,12.950,12.980,1145300,14796176.000,11,12.950,8,12.940,23,12.930,6,12.920,30,12.910,46,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:42,600835
0,上海机电,12.830,12.910,12.980,13.030,12.830,12.950,12.980,1145300,14796176.000,11,12.950,8,12.940,23,12.930,6,12.920,30,12.910,47,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:45,600835
0,上海机电,12.830,12.910,12.980,13.030,12.830,12.960,12.980,1145300,14796176.000,42,12.960,11,12.950,8,12.940,23,12.930,6,12.920,47,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:48,600835
0,上海机电,12.830,12.910,12.960,13.030,12.830,12.960,12.980,1145400,14797472.000,41,12.960,11,12.950,8,12.940,23,12.930,6,12.920,47,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:51,600835
0,上海机电,12.830,12.910,12.960,13.030,12.830,12.960,12.980,1145400,14797472.000,41,12.960,11,12.950,8,12.940,23,12.930,6,12.920,47,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:00:51,600835
0,上海机电,12.830,12.910,12.980,13.030,12.830,12.960,12.980,1145600,14800068.000,41,12.960,11,12.950,8,12.940,23,12.930,6,12.920,55,12.980,158,12.990,265,13.000,118,13.030,46,13.040,2022-06-15,13:01:00,600835
