全称,简称,招聘职位,面试及时处理率,面试评价
广州汇量信息科技有限公司,Mobvista,137个,99%,56个
多益网络有限公司,多益网络,175个,92%,53个
广州三七互娱科技有限公司,三七互娱,33个,暂无,57个
广州太平洋电脑信息咨询有限公司,太平洋网络有限公司,88个,4%,56个
广州趣丸网络科技有限公司,趣丸,88个,61%,33个
广州方硅信息技术有限公司,YY,142个,100%,6个
广州四三九九信息科技有限公司,4399游戏,59个,20%,42个
广州酷狗计算机科技有限公司,酷狗音乐,60个,暂无,32个
广州君海网络科技有限公司,君海游戏,19个,12%,67个
广州致景信息科技有限公司,广州致景信息科技有限公司,65个,暂无,20个
广州云徙科技有限公司,云徙科技,88个,1%,41个
广州小迈网络科技有限公司,广州小迈,50个,36%,207个
广州荔支网络技术有限公司,荔枝集团,44个,暂无,82个
广州梦映动漫网络科技有限公司,触漫,10个,暂无,72个
广州久邦世纪科技有限公司,久邦GOMO,32个,100%,52个
广州有信科技有限公司,广州有信科技有限公司,42个,100%,50个
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,27个,暂无,99个
广州市有车以后信息科技有限公司,有车以后,40个,暂无,95个
北京思恩客科技有限公司,蓝色光标SNK,38个,25%,91个
广州探途网络技术有限公司,全球购骑士特权,10个,17%,23个
广州有好戏网络科技有限公司,毒舌电影,43个,1%,27个
广州明动软件股份有限公司,明动软件,36个,100%,184个
上海晓游信息科技有限公司广州分公司,晓游科技,22个,100%,20个
广州探迹科技有限公司,探迹科技,91个,64%,14个
广州坚和网络科技有限公司,ZAKER,42个,61%,33个
广州播种网络科技有限公司,播种网,13个,100%,106个
大圣科技股份有限公司,大圣科技,51个,53%,33个
广州欢聚时代信息科技有限公司,欢聚集团（JOYY Inc.）,153个,8%,21个
广州盛成妈妈网络科技股份有限公司,妈妈网,3个,13%,127个
广州掌昆网络科技有限公司,掌昆科技,10个,1%,53个
广州龙腾出行网络科技有限公司,龙腾出行,41个,33%,10个
广州海鹚网络科技有限公司,海鹚科技,3个,暂无,42个
广州爱范儿科技股份有限公司,爱范儿,35个,7%,45个
广东三维家信息科技有限公司,广东三维家信息科技有限公司,44个,暂无,11个
上海游雁网络科技有限公司广州分公司,游雁游戏,48个,100%,9个
广州哆啦科技有限公司,Fordeal,25个,暂无,68个
广州嘉为科技有限公司,嘉为科技,4个,1%,6个
广州小丑鱼信息科技有限公司,小丑鱼游戏,27个,暂无,10个
广州市百果园网络科技有限公司,BIGO,122个,4%,3个
广州思璞网络科技有限公司,思璞,31个,92%,12个
广州同玩科技有限公司,同玩科技,10个,11%,16个
广州市人心网络科技有限公司,壹心理,6个,暂无,31个
广州卓动信息科技有限公司,卓动信息科技,40个,暂无,24个
广州易幻网络科技有限公司,易幻网络,27个,27%,121个
广州趣米网络科技有限公司,广州趣米网络,36个,100%,49个
广州华资软件技术有限公司,华资软件,64个,3%,7个
火烈鸟网络(广州)股份有限公司,火烈鸟网络,16个,暂无,8个
有米科技股份有限公司,有米科技,7个,20%,19个
广州凡科互联网科技股份有限公司,凡科,5个,43%,224个
蓝月亮（中国）有限公司,蓝月亮,57个,83%,32个
广东灵机文化传播有限公司,灵机文化,15个,暂无,74个
广州南天电脑系统有限公司,广州南天,47个,14%,21个
广东趣炫网络股份有限公司,广州趣炫,37个,37%,59个
广州伊的家网络科技有限公司,伊的家,24个,36%,114个
唯品会（中国）有限公司,唯品会,38个,1%,32个
泛华保险销售服务集团有限公司,泛华控股集团,24个,66%,47个
广州游爱网络技术有限公司,广州游爱,30个,45%,27个
广东搜款网科技有限公司,搜款网 VVIC,22个,73%,57个
广州天游网络科技有限公司,广州天游,19个,100%,26个
广州赞赏信息科技有限公司,赞赏,7个,暂无,54个
广州微革网络科技有限公司,微革网络,8个,62%,91个
广东智源信息技术有限公司,广东智源,50个,1%,64个
上海益世界信息技术集团有限公司广州分公司,益世界,22个,32%,28个
中国电子产品可靠性与环境试验研究所（（工业和信息化部电子第五研究所）（中国赛宝实验室））,电子五所,36个,暂无,13个
广东腾南网络信息科技有限公司,腾讯•大粤网,2个,暂无,45个
广州经传多赢投资咨询有限公司,经传多赢,17个,100%,65个
广州蜜妆信息科技有限公司,粉星时尚,30个,100%,93个
广州未来一手网络科技有限公司,一手,15个,68%,66个
广州博依特智能信息科技有限公司,博依特,4个,7%,10个
武汉屈臣氏个人用品商店有限公司广州分公司,屈臣氏中国,45个,暂无,5个
广东星辉天拓互动娱乐有限公司,星辉游戏,36个,6%,13个
广州市数商云网络科技有限公司,数商云,22个,100%,55个
蓝鸽集团有限公司,蓝鸽集团,13个,100%,33个
广州启生信息技术有限公司,39健康网,3个,暂无,7个
广州灵感科技有限公司,广州灵感,26个,68%,22个
广州酷游娱乐科技有限公司,酷游娱乐,30个,100%,31个
广州百田信息科技有限公司,广州百田,29个,100%,11个
广州天秤信息科技有限公司,天秤科技,17个,100%,56个
中国平安人寿保险股份有限公司广州电话销售中心,中国平安,17个,8%,4个
广州中大凯旋电子科技有限公司,中大凯旋,31个,暂无,49个
广州大蓝网络科技有限公司,大蓝网络,15个,73%,48个
广发证券股份有限公司,广发证券,48个,100%,4个
广州店控科技有限公司,广州店控科技有限公司,18个,100%,5个
广州思迈特软件有限公司,思迈特软件,18个,暂无,11个
广州金科文化科技有限公司,金科文化,3个,暂无,7个
广州伊智信息科技有限公司,伊智,18个,6%,50个
广州城电客户服务有限公司,广州城电,9个,81%,84个
广东安久科技有限公司,安久科技,33个,2%,27个
广州羊城通有限公司,羊城通,27个,34%,6个
广州优路网络科技有限公司,优路,10个,100%,19个
广州茶里集团有限公司,茶里集团,15个,暂无,27个
广州乐摇摇信息科技有限公司,乐摇摇,24个,47%,23个
广州深海软件股份有限公司,深海游戏,24个,75%,12个
广州明朝互动科技股份有限公司,明朝互动,18个,96%,19个
广州市景心科技股份有限公司,景心科技,16个,100%,9个
南方报业传媒集团,南方报业,31个,1%,13个
