全称,简称,行业领域,公司规模,招聘职位,面试及时处理率,面试评价
广州汇量信息科技有限公司,Mobvista,"营销服务｜咨询,数据服务｜咨询",500-2000人,150,95%,56
多益网络有限公司,多益网络,游戏,2000人以上,175,100%,53
广州三七互娱科技有限公司,三七互娱,游戏,2000人以上,33,1%,57
广州太平洋电脑信息咨询有限公司,太平洋网络有限公司,"内容资讯,电商平台,消费生活",500-2000人,88,5%,56
广州趣丸网络科技有限公司,趣丸,游戏,500-2000人,88,48%,33
广州方硅信息技术有限公司,YY,社交媒体,500-2000人,142,100%,6
广州四三九九信息科技有限公司,4399游戏,游戏,500-2000人,59,100%,42
广州酷狗计算机科技有限公司,酷狗音乐,"音频｜视频媒体,短视频",500-2000人,61,暂无,32
广州君海网络科技有限公司,君海游戏,游戏,500-2000人,19,11%,67
广州致景信息科技有限公司,广州致景信息科技有限公司,电商平台,2000人以上,65,暂无,20
广州云徙科技有限公司,云徙科技,数据服务｜咨询,500-2000人,88,2%,41
广州小迈网络科技有限公司,广州小迈,游戏,500-2000人,50,34%,207
广州荔支网络技术有限公司,荔枝集团,音频｜视频媒体,500-2000人,44,暂无,82
广州梦映动漫网络科技有限公司,触漫,影视｜动漫,150-500人,10,暂无,72
广州久邦世纪科技有限公司,久邦GOMO,"游戏,工具类产品",500-2000人,32,100%,52
广州有信科技有限公司,广州有信科技有限公司,"软件服务｜咨询,数据服务｜咨询",150-500人,42,100%,50
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,电商平台,2000人以上,27,暂无,99
广州市有车以后信息科技有限公司,有车以后,"内容资讯,汽车交易平台",150-500人,40,暂无,95
北京思恩客科技有限公司,蓝色光标SNK,游戏,150-500人,38,25%,91
广州探途网络技术有限公司,全球购骑士特权,消费生活,500-2000人,10,16%,23
广州有好戏网络科技有限公司,毒舌电影,新媒体,150-500人,43,1%,27
广州明动软件股份有限公司,明动软件,软件服务｜咨询,150-500人,36,100%,184
上海晓游信息科技有限公司广州分公司,晓游科技,游戏,150-500人,22,100%,20
广州探迹科技有限公司,探迹科技,"数据服务｜咨询,人工智能服务,营销服务｜咨询",500-2000人,91,58%,14
广州坚和网络科技有限公司,ZAKER,内容资讯,150-500人,42,50%,33
广州播种网络科技有限公司,播种网,内容社区,50-150人,13,100%,106
大圣科技股份有限公司,大圣科技,"人工智能服务,数据服务｜咨询",150-500人,51,36%,33
广州欢聚时代信息科技有限公司,欢聚集团（JOYY Inc.）,"社交媒体,MCN｜直播平台",2000人以上,153,15%,21
广州盛成妈妈网络科技股份有限公司,妈妈网,"电商平台,内容社区,内容资讯",500-2000人,3,13%,127
广州掌昆网络科技有限公司,掌昆科技,游戏,150-500人,10,2%,53
广州龙腾出行网络科技有限公司,龙腾出行,"生活服务,旅游｜出行",150-500人,41,48%,10
广州海鹚网络科技有限公司,海鹚科技,工具类产品,150-500人,3,暂无,42
广州爱范儿科技股份有限公司,爱范儿,营销服务｜咨询,150-500人,35,86%,45
广东三维家信息科技有限公司,广东三维家信息科技有限公司,"软件服务｜咨询,人工智能服务",500-2000人,44,暂无,11
上海游雁网络科技有限公司广州分公司,游雁游戏,游戏,500-2000人,48,100%,9
广州哆啦科技有限公司,Fordeal,电商平台,500-2000人,34,暂无,68
广州嘉为科技有限公司,嘉为科技,"在线教育,IT技术服务｜咨询,人工智能服务",500-2000人,5,暂无,6
广州小丑鱼信息科技有限公司,小丑鱼游戏,游戏,50-150人,27,暂无,10
广州市百果园网络科技有限公司,BIGO,社交媒体,2000人以上,122,4%,3
广州思璞网络科技有限公司,思璞,游戏,150-500人,31,100%,12
广州同玩科技有限公司,同玩科技,"游戏,工具类产品",50-150人,10,7%,16
广州市人心网络科技有限公司,壹心理,移动互联网,150-500人,6,暂无,31
广州卓动信息科技有限公司,卓动信息科技,"游戏,电商平台,软件服务｜咨询",150-500人,40,1%,24
广州易幻网络科技有限公司,易幻网络,游戏,150-500人,27,27%,121
广州趣米网络科技有限公司,广州趣米网络,营销服务｜咨询,150-500人,36,100%,49
广州华资软件技术有限公司,华资软件,"软件服务｜咨询,IT技术服务｜咨询",500-2000人,64,7%,7
火烈鸟网络(广州)股份有限公司,火烈鸟网络,游戏,150-500人,16,1%,8
有米科技股份有限公司,有米科技,营销服务｜咨询,150-500人,7,24%,19
广州凡科互联网科技股份有限公司,凡科,人工智能服务,500-2000人,5,5%,224
蓝月亮（中国）有限公司,蓝月亮,制造业,2000人以上,57,75%,32
广东灵机文化传播有限公司,灵机文化,工具类产品,150-500人,16,4%,74
广州南天电脑系统有限公司,广州南天,IT技术服务｜咨询,500-2000人,47,14%,21
广东趣炫网络股份有限公司,广州趣炫,游戏,500-2000人,37,37%,59
广州伊的家网络科技有限公司,伊的家,电商平台,2000人以上,24,21%,114
唯品会（中国）有限公司,唯品会,电商平台,2000人以上,38,2%,32
泛华保险销售服务集团有限公司,泛华控股集团,科技金融,500-2000人,24,53%,47
广州游爱网络技术有限公司,广州游爱,游戏,500-2000人,30,60%,27
广东搜款网科技有限公司,搜款网 VVIC,电商平台,500-2000人,22,69%,57
广州天游网络科技有限公司,广州天游,游戏,150-500人,19,100%,26
广州赞赏信息科技有限公司,赞赏,"软件服务｜咨询,营销服务｜咨询,MCN｜直播平台",150-500人,7,暂无,54
广州微革网络科技有限公司,微革网络,电商平台,150-500人,8,41%,91
广东智源信息技术有限公司,广东智源,"软件服务｜咨询,IT技术服务｜咨询",50-150人,50,3%,64
上海益世界信息技术集团有限公司广州分公司,益世界,游戏,500-2000人,21,29%,28
中国电子产品可靠性与环境试验研究所（（工业和信息化部电子第五研究所）（中国赛宝实验室））,电子五所,专业服务｜咨询,2000人以上,36,暂无,13
广东腾南网络信息科技有限公司,腾讯•大粤网,"内容资讯,在线教育,短视频",150-500人,2,暂无,45
广州经传多赢投资咨询有限公司,经传多赢,科技金融,2000人以上,17,84%,65
广州蜜妆信息科技有限公司,粉星时尚,MCN｜直播平台,50-150人,30,59%,93
广州未来一手网络科技有限公司,一手,电商平台,500-2000人,15,100%,66
广州博依特智能信息科技有限公司,博依特,软件服务｜咨询,150-500人,4,13%,10
武汉屈臣氏个人用品商店有限公司广州分公司,屈臣氏中国,新零售,2000人以上,45,暂无,5
广东星辉天拓互动娱乐有限公司,星辉游戏,游戏,500-2000人,36,10%,13
广州市数商云网络科技有限公司,数商云,"软件服务｜咨询,IT技术服务｜咨询",150-500人,22,90%,55
蓝鸽集团有限公司,蓝鸽集团,"软件服务｜咨询,IT技术服务｜咨询",500-2000人,13,100%,33
广州启生信息技术有限公司,39健康网,信息检索,150-500人,3,暂无,7
广州灵感科技有限公司,广州灵感,游戏,150-500人,26,76%,22
广州酷游娱乐科技有限公司,酷游娱乐,游戏,150-500人,30,100%,31
广州百田信息科技有限公司,广州百田,"游戏,内容社区",500-2000人,29,100%,11
广州天秤信息科技有限公司,天秤科技,IT技术服务｜咨询,15-50人,17,100%,56
中国平安人寿保险股份有限公司广州电话销售中心,中国平安,数据服务｜咨询,2000人以上,17,9%,4
广州中大凯旋电子科技有限公司,中大凯旋,"数据服务｜咨询,IT技术服务｜咨询",150-500人,31,暂无,49
广州大蓝网络科技有限公司,大蓝网络,游戏,150-500人,15,100%,48
广发证券股份有限公司,广发证券,金融业,2000人以上,48,100%,4
广州店控科技有限公司,广州店控科技有限公司,"软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询",15-50人,18,100%,5
广州思迈特软件有限公司,思迈特软件,数据服务｜咨询,500-2000人,18,1%,11
广州金科文化科技有限公司,金科文化,"文化传媒,游戏",150-500人,3,暂无,7
广州伊智信息科技有限公司,伊智,"软件服务｜咨询,数据服务｜咨询",500-2000人,18,6%,50
广州城电客户服务有限公司,广州城电,智能硬件,2000人以上,9,99%,84
广东安久科技有限公司,安久科技,游戏,150-500人,32,2%,27
广州羊城通有限公司,羊城通,IT技术服务｜咨询,150-500人,27,40%,6
广州优路网络科技有限公司,优路,"软件开发,工具",15-50人,10,100%,19
广州茶里集团有限公司,茶里集团,电商平台,150-500人,15,暂无,27
广州乐摇摇信息科技有限公司,乐摇摇,软件服务｜咨询,500-2000人,26,71%,23
广州深海软件股份有限公司,深海游戏,游戏,150-500人,24,35%,12
广州明朝互动科技股份有限公司,明朝互动,游戏,150-500人,18,66%,19
广州市景心科技股份有限公司,景心科技,IT技术服务｜咨询,150-500人,16,100%,9
南方报业传媒集团,南方报业,文化传媒,2000人以上,31,1%,13
