title,rate,casts,cover,detailLink,types,time,movieTime,summary
幻术先生,8.3,"['钱小豪', '杜奕衡', '许颢', '白钰（女）']",http://pic2.iqiyipic.com/image/20230202/0a/0a/v_171105291_m_601_m10.webp,http://www.iqiyi.com/v_28mchtutub4.html,喜剧,2023-2-1,83.83,幻术门起源于商朝，分金木水火土五派。民国初年，水师裴静之为抢夺幻术门法宝大开杀戒，最终被火师空空儿封印。二十年后，裴静之卷土重来，将空空儿杀害。空空儿临终前，将自己抚养的孤儿卓非凡托付给火师落霞飞学习火术。卓非凡发誓要为空空儿报仇，但当他意外得知裴静之竟然是自己的生父时，一时陷入两难抉择。
七小汪警犬队,8.7,"['王韬', '国永振', '石兆琪', '童苡萱']",http://pic0.iqiyipic.com/image/20230203/50/90/v_171105167_m_601_m3.webp,http://www.iqiyi.com/v_17x3732gryk.html,犯罪;动作,2023-2-3,87.27,一个“废柴”新人钱小天和一个“精英”幼犬饺子，彼此看不上对方，通过时间和各种各样的事件，一人一犬彼此磨合，彼此成就，最终成为合格的训犬师和警犬的故事
东北猛兽,8.6,"['文松', '贾冰', '张子栋', '崔志佳', '杜建桥', '夏梓桐', '杨皓宇', '寇振海']",http://pic0.iqiyipic.com/image/20230203/e7/19/v_171106885_m_601_m4.webp,http://www.iqiyi.com/v_2e53qe1sdv0.html,喜剧,2023-2-3,86.01,讲述了动物园老园长孙得有在面对时代变迁、内部困境等层层压力下，通过种种奇葩手段坚持运营动物园，故事通过父子关系的设置，真实的展现出东北地区老龄化严重、年轻人流失等社会问题。通过对经济效益和精神效益进行讨论，表现出当今社会和谐统一的价值观。故事中孙得有等人皆是普普通通的小人物，但是人物虽平凡，但其身上却蕴含着不平凡的价值观、正能量，对儿子孙小虎的塑造，引入年轻人的视角，孙小虎找回本心回到家乡，让观众感受到年轻人打破迷茫的勇气和决心，侧面反映出国家推行的“归雁计划”的精神指示。通过展现动物园的改革，展现出东北人民不抛弃不放弃的奋斗精神。只有人与家的和谐发展，才能创造更美好的生活。
狙击之王：暗杀,9.1,"['麦亨利', '杨杏', '叨叨', '李东赫']",http://pic8.iqiyipic.com/image/20230129/0e/51/v_171008510_m_601_m5.webp,http://www.iqiyi.com/v_1ug4dyjovxs.html,枪战;犯罪;动作,2023-1-24,97.91,讲述天才女狙击手安娜被迫接受刺杀任务，在执行过程中逐渐觉醒为善良、大爱的正义战士，联合军方特工阿泰在面对毒枭迫害百姓时挺身而出、声张正义。二人联手阻止利比瓦拉国毒品种植和贩卖合法化法案通过，与毒枭大反派罗杰展开生死对战，最终粉碎反派阴谋，保护百姓不受毒品侵害，挽救国家的热血故事。
破·局,8.2,"['郭富城', '王千源', '刘涛', '余皑磊', '冯嘉怡', '郑凯']",http://pic2.iqiyipic.com/image/20210916/d6/c6/v_113493552_m_601_m9.webp,http://www.iqiyi.com/v_19rr8my51c.html,动作;犯罪,2017-8-17,112.23,这是高见翔警官生命中最艰难的一天：母亲去世，工作遇阻，还在奔丧时意外撞死了一个人。他本以为可以瞒天过海，没想到一个惊天阴谋在前方等待，令他身陷迷局......
不期而遇的夏天,9.1,"['陈创', '郎月婷', '张磊']",http://pic1.iqiyipic.com/image/20220820/4f/1c/v_161526106_m_601_m4.webp,http://www.iqiyi.com/v_2fduljleq58.html,喜剧,2021-9-3,106.61,　一个受尽白眼的街头混混（陈创 饰），一个遭到排挤的转校生（郭可轩 饰），孤独失意的两人，在一系列意外中，成为了彼此唯一的朋友。然而生活给了他们不同的难题，当夏天结束的时候，他们的友情似乎也走到了尽头……
过年好,8.9,"['赵本山', '闫妮', '热依扎', '炎亚纶', '潘斌龙', '大鹏', '于和伟']",http://pic5.iqiyipic.com/image/20210916/d6/4c/v_110084152_m_601_m9.webp,http://www.iqiyi.com/v_19rrkxn2xs.html,喜剧;家庭,2016-2-1,106.05,独居老人老李只有逢年过节才能见到“北漂”的女儿李羊朵和远在美国留学的外孙女莉莉。盼星星盼月亮的盼了个团圆，也盼来了外孙女的男友Aaron，没想到啼笑皆非的故事也就从这团圆开始了。
万里归途,9.5,"['张译', '王俊凯', '殷桃', '王迅', '张子贤']",http://pic8.iqiyipic.com/image/20221216/f9/56/v_169146985_m_601_m4.webp,http://www.iqiyi.com/v_25rm6a57lvo.html,先进人物;外交;战争,2022-9-30,137.38,"电影根据真实事件改编。
北非努米亚爆发战乱，前驻地外交官宗大伟与外交部新人成朗受命前往协助撤侨。任务顺利结束，却得知还有一批被困同胞，正在白婳的带领下，前往边境撤离点。情急之下，两人放弃了回家机会，逆行进入战区。在撤侨的最后100公里，面对反叛军的枪口，穿越战火和荒漠，赤手空拳的外交官，如何让125人走出一条回家之路……"
全境封锁（普通话）,0,"['埃伦·科戴罗', '塞尔莫·费尔南德斯', '瓦耐萨·热贝利']",http://pic6.iqiyipic.com/image/20230201/3f/92/v_171130552_m_601_m2.webp,http://www.iqiyi.com/v_fk0omvprxk.html,惊悚;犯罪;动作,2020-1-23,120.18,20世纪90年代，巴西首都里约热内卢绑架案频发。政府安保部门命令警察解救这座城市。然而，威胁不仅来自犯罪集团，更来自警察系统。生与死的较量，将在这座上帝之城一触即发。
扫黑·决战,9.0,"['姜武', '张颂文', '金世佳', '李倩', '焦刚', '赵毅', '尤勇', '刘琳']",http://pic9.iqiyipic.com/image/20230203/06/a7/v_151351479_m_601_m16.webp,http://www.iqiyi.com/v_g4yclmg2ug.html,反腐扫黑;警察;犯罪,2021-5-1,111.26,该片是国内首部以“扫黑除恶”行动为题材、展现全国扫黑办督办案件的影视化作品，讲述某扫黑专案组组长宋一锐带领组员由一起征地案深入调查，突破层层阻挠，与幕后的黑恶势力展开激烈斗争，最终揭开腐败官员利用公职权力充当犯罪保护伞的虚伪面具，将犯罪分子绳之以法的故事。
