,楼盘名称,楼盘状态
0,滨望雅庭,在售
1,荣盛江荣府,在售
2,旭辉珺和府,在售
3,杭曜之城,待售
4,绿城桂语新月,在售
5,赞成星谷,在售
6,同协金座,在售
7,蓝城久宸里,在售
8,云悦湾,在售
9,世茂西溪宸悦,在售
10,天目观山月,在售
11,大华春山明月,在售
12,云水山居,在售
13,万科玖望,在售
14,凤起潮鸣,待售
15,世茂智慧之门,在售
16,中铁建国际公馆,在售
17,复地壹中心,在售
18,宋都阳光国际,在售
19,中港西湖院子,在售
20,金骏大厦,在售
21,九龙仓雍景山,在售
22,浅山,在售
23,滨湖天地,在售
24,万通中心,在售
25,诺德财富中心,在售
26,钱江浙商创投中心,在售
27,佳源未来府,在售
28,钱塘ONE,在售
29,众安恒隆广场,在售
30,世包国际中心,在售
31,时间名座玺寓,在售
32,鼎和金座,在售
33,悦青蓝,待售
34,公元帝景,在售
35,东海闲湖城,待售
36,文渊狮城,在售
37,泰禾野风大城小院,在售
38,星云,在售
39,永和之星,在售
40,临平新时代,在售
41,运河印,在售
42,绿地商业中心,在售
43,招商越秀公园1872,在售
44,东方世贸城,在售
45,宋都时间名座,在售
46,白鹭郡西,在售
47,万通中心,在售
48,盈都吾角商业中心,在售
49,汉港武林汇,在售
50,世包国际中心,在售
51,天骄香槟郡,在售
52,飘鹰富春江花苑,在售
53,云水山居,在售
54,山南印,在售
55,奥体万科中心,在售
56,富力湖滨悦居,在售
57,招商I-Park,在售
58,越秀星悦城,在售
59,佳源优樾,在售
60,中交财富中心,在售
61,东部之星,在售
62,万融城,在售
63,天骄香槟郡,在售
64,绿城云栖桃花源,在售
65,华夏之心,在售
66,万科公望,待售
67,奥克斯时代未来之城,在售
68,祥生云湖城,在售
69,山水时代,在售
70,励骏花园,在售
71,春江山居,在售
72,禹洲滨澜铭座,在售
73,金马高悦府,在售
74,富力御江山小区,在售
75,汇高栢悦中心,在售
76,华策中心,在售
77,柳溪湾,在售
78,朗诗溪涧雅庐,待售
79,春江山居,在售
80,运河万科中心,在售
81,滨虹商务中心,在售
82,中城汇MIDTOWN,在售
83,紫荆辰光,在售
84,绿地亚洲公园,待售
85,融创港印中心,在售
86,绿城青亭,在售
87,星光荟,在售
88,中冶锦绣公馆,待售
89,中冶锦绣公馆,在售
90,恒大御泉四季,在售
91,紫荆辰光,在售
92,悦湖湾花园,在售
93,北辰奥园,在售
94,竹悦山水轩,在售
95,钱塘ONE,在售
96,云安小镇,在售
97,理想银泰城,在售
98,嘉裕天城,在售
99,地铁万科杭行道,在售
100,世茂西溪宸悦,在售
101,绿城青亭商铺,待售
102,云都汇中心,在售
103,铂瑞悦府,在售
104,傲旋城,在售
105,云集金座,在售
106,融创森与海之城,在售
107,启迪协信科技城,在售
108,五幸银座,在售
109,杭州春树云筑,在售
110,海威天地,在售
111,云上金铭府,在售
112,奥体朝龙汇,在售
113,华夏之心,在售
114,碧桂园铂玺湾,在售
115,美的西径晓风,在售
116,美的西径晓风,在售
117,之江潮,在售
118,中骏临栖云府,在售
119,新湖金色池塘,在售
120,新湖金色池塘,在售
121,滨江定福阁,待售
122,国开东方锦城学府,在售
123,融创森与海之城,在售
124,绿都鉴未来,在售
125,水岸华府,在售
126,富阳宸光悦,在售
127,景顺铂悦城,在售
128,锦和云水江南,在售
129,保利欣品华庭,在售
130,东亚溪雅香舍,在售
131,千岛湖绿城桂语江南,在售
