楼盘性质,楼盘单价,开发商名
住宅,均价 28500元/平,杭州滨信置业有限公司
住宅,均价 38000元/平,杭州荣耀盛灏置业有限公司
住宅,均价 14600元/平,杭州兴浦置业有限公司
住宅,均价 30000元/平,杭州融荣房地产开发有限公司
住宅,均价 22000元/平,杭州绿城浙诗置业有限公司
商业类,均价 23000元/平,杭州润庆置业有限公司
商业类,均价 32000元/平,杭州同达置业有限公司
商业类,均价 80000元/平,浙江久光房地产开发有限公司
商业类,均价 40000元/平,杭州盛寅房地产开发有限公司
商业类,均价 42000元/平,杭州禾睿房地产开发有限公司
住宅,均价 12800元/平,临安置润房产开发有限公司
别墅,总价 540-1020(万/套),浙江大华房地产开发有限公司
住宅,均价 15600元/平,杭州金宇房地产开发有限公司
住宅,均价 20600元/平,杭州富阳永通房地产开发有限公司
别墅,价格待定,杭州绿城凤起置业有限公司
写字楼,均价 27000元/平,杭州世茂瑞盈置业有限公司 
商业类,均价 32000元/平,中铁房地产集团华东有限公司
商业类,均价 20000元/平,杭州复曼达置业有限公司
住宅,均价 48000元/平,浙江东霖房地产开发有限公司
别墅,总价 880-1300(万/套),杭州中港绿泰房地产开发有限公司
写字楼,均价 26000元/平,杭州金骏房地产开发有限公司
别墅,总价 267-420(万/套),富汇房地产开发（富阳）有限公司 
住宅,均价 14500元/平,淳安怡和置业有限公司
住宅,均价 22000元/平,杭州新天地集团有限公司
写字楼,均价 23000元/平,杭州万通时尚置业有限公司
写字楼,均价 27000元/平,浙江正凯置业有限公司
写字楼,均价 30000元/平,浙江浙创置业有限公司
商业,均价 30000元/平,杭州蓝源置业有限公司
商业类,均价 40000元/平,杭州汇辉置业有限公司
写字楼,均价 19000元/平,浙江众安房地产开发有限公司
商业类,均价 50000元/平,亚洲包装中心有限公司
商业类,均价 20000元/平,杭州加悦都实业有限公司
商业类,均价 21000元/平,杭州禹禾房地产开发有限公司
住宅,总价 200-270(万/套),杭州万胜房地产开发有限公司
别墅,总价 513-966(万/套),杭州帝凯房地产开发有限公司
别墅,总价 700(万/套),杭州东海春房地产开发有限公司
别墅,总价 503-650(万/套),杭州千岛湖新天地文化发展有限公司
别墅,总价 850(万/套),富阳野风乐多房地产开发有限公司
商业类,均价 28000元/平,浙江信维信息科技有限公司
商业类,均价 22000元/平,浙江永和房地产开发有限公司
商业类,均价 16000元/平,浙江杭报金都创意产业发展有限公司
商业类,均价 24000元/平,浙江万融置业有限公司
商业类,均价 38000元/平,绿地控股集团杭州东城房地产开发有限公司
商业,均价 46000元/平,招商局地产（杭州）有限公司
商业,均价 17000元/平,杭州温商机电实业有限公司
商业,均价 21000元/平,杭州加悦都实业有限公司
别墅,总价 3500(万/套),杭州林庐房地产开发有限公司 
商业,均价 50000元/平,杭州万通时尚置业有限公司
商业类,均价 26000元/平,杭州盈坤置业有限公司
商业类,均价 24798元/平,杭州港联置业有限公司
写字楼,均价 43000元/平,亚洲包装中心有限公司
住宅,均价 9000元/平,浙江天骄置业有限公司
住宅,均价 17000元/平,桐庐飘鹰置业有限公司
别墅,总价 530-745(万/套),杭州金宇房地产开发有限公司
写字楼,均价 36000元/平,杭州泰悦置业有限公司
写字楼,均价 30000元/平,浙江华运信德房地产开发有限公司
住宅,均价 14000元/平,广州富力地产股份有限公司
底商,均价 55000元/平,暂无信息
住宅,均价 21600元/平,杭州越秀房地产开发有限公司
住宅,均价 18500元/平, 浙江佳源房地产集团有限公司
写字楼,均价 23000元/平,暂无信息
商业类,均价 18000元/平,杭州东部大学科技园建设有限公司
写字楼,均价 24000元/平,浙江万融置业有限公司
别墅,总价 336-480(万/套),浙江天骄置业有限公司
别墅,总价 1200-1500(万/套),杭州绿城银湖置业有限公司
商业类,均价 26000元/平,杭州宝力康华置业有限公司
别墅,总价 1700(万/套),杭州富阳万科房地产开发有限公司
写字楼,均价 27000元/平,杭州奥克斯置业有限公司
住宅,均价 20500元/平,杭州祥生弘达房地产开发有限公司
商业类,均价 47000元/平,杭州龙都置业有限公司
住宅,均价 19000元/平,杭州励骏置业有限公司
住宅,均价 12000元/平,杭州爱丽娜房地产开发有限公司
商业类,均价 25000元/平,中维地产浙江有限公司
住宅,均价 19000元/平,桐庐桐鑫房地产开发有限公司
住宅,均价 8000元/平,杭州冠富房地产开发有限公司
写字楼,均价 16000元/平,杭州汇高置地有限公司
写字楼,均价 25000元/平,浙江影视产业国际合作实验区西溪实业有限公司
住宅,均价 10700元/平,杭州临安佳伟房地产开发有限公司
住宅,价格待定,杭州临安朗茂置业有限公司
别墅,总价 450(万/套),杭州爱丽娜房地产开发有限公司
写字楼,均价 23000元/平,杭州祥瑞汽车产业园开发有限公司
商业,均价 13500元/平,杭州新天地集团有限公司
商业类,均价 35000元/平,杭州万璟置业有限公司
商业类,均价 48000元/平,杭州成禾房地产开发有限公司
别墅,总价 270-426(万/套),杭州绿地锦城房地产开发有限公司
底商,均价 35000元/平,杭州圆汇投资置业有限公司
商业类,均价 28000元/平,杭州望云房地产开发有限公司
商业,均价 25000元/平,杭州汇和置业有限公司
住宅,价格待定,杭州中冶名锦房地产开发有限公司
商业类,均价 65000元/平,杭州中冶名锦房地产开发有限公司
住宅,均价 8600元/平,杭州盛建置业有限公司
商业,均价 49000元/平, 杭州成禾房地产开发有限公司
住宅,均价 15000元/平,杭州千岛湖浙远房地产开发有限公司
底商,均价 27000元/平,杭州北辰置业有限公司
住宅,均价 12000元/平,临安云海置业有限公司
底商,均价 43750元/平,杭州汇辉置业有限公司
商业类,均价 16500元/平,杭州青山湖森林硅谷开发有限公司
写字楼,均价 21000元/平,杭州理想银泰购物中心有限公司
住宅,均价 19500元/平,杭州远邦房地产开发有限公司
商业类,均价 35000元/平,杭州商庭房地产开发有限公司
商业,均价 90000元/平,杭州禾睿房地产开发有限公司
商业,价格待定,杭州望云房地产开发有限公司
商业类,均价 29000元/平,杭州名宸置业有限公司
商业类,均价 38000元/平,杭州龙合实业有限公司
住宅,均价 45000元/平,杭州恒兴置业有限公司
商业类,均价 12000元/平,浙江临安环球交通物流有限公司
住宅,均价 14000元/平,杭州融阳政房地产开发有限公司
商业类,均价 29000元/平,杭州启迪协信建塘科技发展有限公司
商业类,均价 27500元/平,杭州西江置业有限公司
商业类,均价 35000元/平,杭州西投绿城置业有限公司
商业类,均价 48000元/平,杭州融威置业有限公司
住宅,均价 22000元/平,杭州景扬置业有限公司
写字楼,均价 31000元/平,杭州国逸实业有限公司
写字楼,均价 27000元/平,暂无信息
住宅,均价 22000元/平,杭州富睿置业有限公司
住宅,均价 18500元/平,杭州美煜房地产发展有限公司
别墅,总价 310-550(万/套),杭州美煜房地产发展有限公司
商业类,均价 31000元/平,杭州骏功置业有限公司
住宅,均价 18600元/平,杭州嘉怡置业有限公司
住宅,均价 15200元/平,杭州新湖鸬鸟置业有限公司
别墅,总价 260(万/套),杭州新湖鸬鸟置业有限公司
别墅,价格待定,杭州新惠房地产开发有限公司
住宅,均价 20000元/平,杭州轩湖房地产开发有限公司
别墅,总价 600(万/套),杭州融阳政房地产开发有限公司
底商,均价 40000元/平,杭州睿都置业有限公司
住宅,均价 11000元/平,杭州融旺房地产开发有限公司
住宅,均价 22000元/平,杭州祥生弘腾房地产开发有限公司
商业类,均价 35000元/平,杭州望景置业有限公司
别墅,总价 280-380(万/套),杭州精文文广投资有限公司
住宅,均价 32000元/平,杭州保利建嘉房地产开发有限公司
住宅,均价 10500元/平,杭州嘉缘房地产开发有限公司
住宅,均价 14500元/平,杭州汤姆房地产开发有限公司
住宅,均价 19099元/平,杭州美生美置业有限公司
别墅,总价 481-483(万/套),杭州越城房地产开发有限公司
别墅,总价 486-660(万/套),杭州富耀置业有限公司
商业类,均价 30000元/平,杭州世腾置业有限公司
底商,均价 37000元/平,杭州润庆置业有限公司
商业类,均价 31000元/平,杭州恒兴置业有限公司
住宅,均价 24000元/平,杭州昌茂置业有限公司
商业类,均价 22000元/平,杭州公望置业有限公司
住宅,均价 16000元/平,尚雅置业（杭州）有限公司
别墅,总价 266-315(万/套),尚雅置业（杭州）有限公司
商业类,均价 15000元/平,杭州君元数字科技有限公司
商业类,均价 23000元/平,杭州空港置业有限公司
别墅,总价 536(万/套),浙江新广发置业有限公司
商业,均价 43000元/平,嘉凯城城镇化建设发展（余杭闲林）有限公司
商业,均价 40000元/平,杭州西曙置业有限公司
商业类,均价 28000元/平,杭州新天地集团有限公司
住宅,均价 9800元/平,杭州越城房地产开发有限公司
住宅,均价 13300元/平,杭州澳澜房地产开发有限公司
住宅,均价 26200元/平,杭州祥生弘图房地产开发有限公司
住宅,均价 12000元/平,淳安润枫房地产开发有限公司
商业类,均价 32000元/平,杭州赞成美树置业有限公司
别墅,总价 850-1000(万/套),浙江暄竺实业有限公司
住宅,均价 21900元/平,杭州富耀置业有限公司
商业类,均价 25000元/平,杭州北麓房地产开发有限公司
商业类,均价 35000元/平,杭州港郦置业有限公司
住宅,均价 29800元/平,杭州秦茂置业有限公司
住宅,均价 25600元/平,杭州兴塘置业有限公司
住宅,均价 29800元/平,杭州锦宁置业有限公司
商业类,均价 37000元/平,杭州九耀置业有限公司
住宅,均价 25600元/平,杭州南璟置业有限公司
住宅,均价 22500元/平,杭州运塘房地产开发有限公司
别墅,总价 344-350(万/套),杭州运塘房地产开发有限公司
住宅,均价 18000元/平,淳安千岛湖森垄房地产开发有限公司
别墅,总价 565-898(万/套),杭州国申房地产开发有限公司
写字楼,均价 11000元/平,杭州越秀房地产开发有限公司
底商,均价 65000元/平,杭州融威置业有限公司
住宅,均价 10000元/平,淳安汇和房地产开发有限公司
住宅,均价 29000元/平,浙江星望置业有限公司
别墅,总价 351-358(万/套),淳安怡和置业有限公司
住宅,均价 19000元/平,杭州翠祥房地产有限公司
住宅,均价 36800元/平,甘建投（杭州）房地产有限公司
住宅,均价 22000元/平,杭州富阳乘光置业有限公司
写字楼,均价 22000元/平,杭州宏晟置业有限公司
住宅,均价 8800元/平,杭州弘涵房地产开发有限公司
商业,均价 50000元/平,嘉凯城城镇化建设发展（余杭星桥）有限公司
别墅,总价 220-530(万/套),杭州耕织园农业开发有限公司
住宅,均价 21000元/平,银城地产集团股份有限公司
商业类,均价 40000元/平,中锦联城控股有限公司
住宅,均价 20500元/平,杭州众安银晟置业有限公司
写字楼,均价 80000元/平,杭州信达奥体置业有限公司
住宅,均价 19800元/平,杭州景科房地产开发有限公司
住宅,均价 18000元/平,杭州瑞盛房地产开发有限公司
住宅,均价 31350元/平,杭州锦棠置业有限公司
住宅,均价 33500元/平,杭州滨锦房地产开发有限公司
住宅,价格待定,正腾置业（杭州）有限公司
住宅,价格待定,杭州鸿扬投资管理有限公司
住宅,价格待定,杭州鸿扬投资管理有限公司
写字楼,均价 48000元/平,杭州融威置业有限公司
写字楼,均价 67000元/平,浙江华峰房地产开发有限公司
底商,均价 40000元/平,杭州瑞进合能房地产开发有限公司
住宅,均价 38000元/平,杭州信尔置业有限公司
住宅,均价 16000元/平,杭州韵致科技有限公司
别墅,总价 525-645(万/套),杭州临安西子房地产开发有限公司
住宅,均价 28500元/平,杭州骏熠置业有限公司
住宅,均价 22600元/平,杭州华城房地产开发有限公司
住宅,均价 19800元/平,杭州星淑置业有限公司
住宅,价格待定,杭州融琴置业有限公司
住宅,价格待定,杭州滨拓企业管理有限公司
别墅,总价 551-933(万/套),杭州云石仙女湖置业有限公司
住宅,均价 29000元/平,杭州轩源实业有限公司
住宅,价格待定,杭州融珏实业有限公司
住宅,价格待定,杭州沃都房地产开发有限公司
住宅,价格待定,杭冠置业（杭州）有限公司
别墅,价格待定,杭冠置业（杭州）有限公司
别墅,总价 360-450(万/套),杭州鑫澜置业有限公司
别墅,总价 354-455(万/套),杭州众汇置业有限公司
住宅,价格待定,杭州英蓝置业有限公司
写字楼,价格待定,杭州滨硕实业有限公司
住宅,价格待定,杭州大江东地产开发有限公司
住宅,均价 18900元/平,杭州青曼置业有限公司
住宅,均价 24500元/平,杭州熙华房地产开发有限公司
住宅,均价 22500元/平,杭州临安西子房地产开发有限公司
住宅,均价 16500元/平,杭州辉都置业有限公司
住宅,均价 33400元/平,杭州龙悦有限公司
商业类,价格待定,招商局地产（杭州）有限公司
住宅,均价 66000元/平,杭州滨兴实业有限公司
住宅,价格待定,杭州滨甬实业有限公司
住宅,价格待定,华润新鸿基房地产（杭州）有限公司
住宅,价格待定,杭州地上房地产集团有限公司
住宅,价格待定,杭州新城骏宏恒锦房地产开发有限公司
商业类,价格待定,平高置业（杭州）有限公司
住宅,价格待定,杭州富阳景莱房地产开发有限公司
住宅,价格待定,杭州启祥房地产开发有限公司
住宅,价格待定,杭州市房地产开发集团有限公司
住宅,价格待定,杭州浩都房地产开发有限公司
商业类,均价 38000元/平,浙江赛智建设有限公司
住宅,价格待定,杭州中海海跃房地产有限公司
写字楼,均价 50000元/平,杭州兆顺房地产有限公司
住宅,均价 36100元/平,杭州润汀商业地产有限公司
住宅,均价 33000元/平,杭州保源置业有限公司
别墅,总价 1000-1900(万/套),富春江旅游度假区开发有限公司
别墅,总价 420(万/套),杭州辉都置业有限公司
住宅,均价 24000元/平,杭州星桂置业有限公司
住宅,价格待定,绿城房地产集团有限公司
住宅,均价 11000元/平,杭州恒晨置业有限公司
住宅,价格待定,杭州新黄浦滨致房地产开发有限公司
住宅,均价 46500元/平,金隅悦潮（杭州）房地产开发有限公司
住宅,均价 16100元/平,杭州德信临滨置业有限公司
别墅,价格待定,杭州华城房地产开发有限公司
住宅,均价 25000元/平,杭州嘉境房地产开发有限公司
写字楼,均价 26000元/平,杭州裕捷置业有限公司
写字楼,均价 20000元/平,平高置业（杭州）有限公司
住宅,价格待定,杭州绿金匠心置地有限公司
别墅,价格待定,杭州绿金匠心置地有限公司
住宅,价格待定,杭州嘉腾交控西站有限公司
住宅,价格待定,杭州滨晨房地产开发有限公司
住宅,价格待定,杭州新黄浦滨顺房地产开发有限公司
住宅,价格待定,杭州嘉颂房地产开发有限公司
住宅,价格待定,杭州会林盛和置业有限公司
住宅,均价 21300元/平,杭州滨耀置业有限公司
住宅,价格待定,杭州锦宇房地产开发有限公司
住宅,价格待定,杭州祥生弘德房地产开发有限公司
住宅,价格待定,杭州越文房地产开发有限公司
住宅,价格待定,中天建设集团有限公司
住宅,价格待定,浙江天都实业有限公司
商业类,价格待定,杭州钱和置业有限公司
别墅,价格待定,杭州滨江房产集团股份有限公司
底商,均价 35000元/平,杭州东望房地产开发有限公司
写字楼,均价 13000元/平,杭州东望房地产开发有限公司
住宅,价格待定,桐庐县金枝房地产开发有限公司
住宅,均价 30500元/平,杭州凤溪置业有限公司
商业,均价 35000元/平,杭州南璟置业有限公司
住宅,价格待定,杭州临安曙光商贸有限公司
住宅,价格待定,杭州滨建房地产开发有限公司
住宅,价格待定,杭州中海海犇房地产有限公司
商业类,均价 12000元/平,杭州和源置业有限公司
写字楼,均价 30000元/平,杭州龙悦有限公司
住宅,价格待定,杭州滨麟置业有限公司
别墅,价格待定,杭州银昇置业有限公司
住宅,价格待定,杭州北榆房地产开发有限公司
住宅,价格待定,广州粤港湾投资有限公司
住宅,价格待定,杭州鑫语置业有限公司
写字楼,均价 25000元/平,杭州海悦地产有限公司
商业,均价 45000元/平,杭州宝龙桃源实业发展有限公司
住宅,价格待定,杭州浙怡置业有限公司
写字楼,价格待定,绿地控股集团杭州东城房地产开发有限公司
住宅,价格待定,杭州银昇置业有限公司
住宅,价格待定,杭州伟星置业有限公司
底商,均价 45000元/平,杭州中璟邦达置业有限公司
住宅,均价 20000元/平,桐庐兆禧房地产有限公司
别墅,价格待定,桐庐兆禧房地产有限公司
写字楼,价格待定,杭州滨绍房地产开发有限公司
底商,均价 45000元/平,杭州宝龙桃源实业发展有限公司
别墅,总价 500(万/套),杭州青曼置业有限公司
写字楼,价格待定,杭州天坤实业有限公司
别墅,总价 1239-1260(万/套),浙江昆源房地产开发有限公司
别墅,均价 34000元/平,浙江森野房地产开发有限公司
商业类,均价 14500元/平,浙江艺博汇家饰城经营管理有限公司
住宅,均价 14000元/平,宁波杭州湾新区华旅置业有限公司
住宅,均价 17000元/平,同焜房地产开发（嘉善）有限公司
住宅,均价 24000元/平,绍兴金昌展业置业有限公司
住宅,均价 12500元/平,光明房地产集团股份有限公司
住宅,均价 7700元/平,绍兴嵊州品冠置业有限公司
别墅,总价 290-460(万/套),绍兴嵊州品冠置业有限公司
住宅,均价 14000元/平,港中旅（安吉）旅游发展有限公司
别墅,总价 300-360(万/套),港中旅（安吉）旅游发展有限公司
住宅,均价 7500元/平,长兴万鑫房地产开发有限公司
住宅,均价 18000元/平,安吉云顶置业有限公司
住宅,均价 8500元/平,浙江欣龙房地产开发有限公司
住宅,均价 30000元/平,绍兴汀光房地产开发有限公司
商业类,均价 17500元/平,绍兴市金翔置业有限公司
住宅,均价 13000元/平,宁波杭州湾新区海泉湾旅游开发有限公司
住宅,均价 15500元/平,嘉兴诺屹置业有限公司
住宅,均价 15000元/平,中荣地产（杭州）有限公司
住宅,均价 13000元/平,浙江均旭房地产开发有限公司
住宅,均价 12700元/平,湖州金睿置业有限公司
住宅,均价 14000元/平,浙江湖州宝辉房地产开发有限公司
商业类,均价 16500元/平,浙江伟业房产集团有限公司
住宅,均价 8600元/平,湖州锦瑞置业有限公司
住宅,均价 13500元/平,睿奥（嘉兴）房地产开发有限责任公司
别墅,总价 250-480(万/套),诸暨颐和康养度假产业开发有限公司
住宅,均价 26500元/平,绍兴宝泰置业有限公司
住宅,均价 19000元/平,绍兴越胜房地产开发有限公司
住宅,均价 24000元/平,绍兴茂旭置业有限公司
住宅,均价 11000元/平,桐乡金鸿嘉置业有限公司
住宅,均价 18500元/平,绍兴裕隆房地产开发有限公司
住宅,均价 12000元/平,绍兴金屹房地产开发有限公司
住宅,均价 7500元/平,绍兴鑫川置业有限公司
别墅,总价 270-310(万/套),绍兴鑫川置业有限公司
别墅,总价 390(万/套),绍兴拓石置业有限公司
住宅,均价 18125元/平,桐乡市濮院旅游有限公司
住宅,均价 17973元/平,桐乡市濮院旅游有限公司
住宅,均价 10900元/平,海盐鸿科地置业有限公司
住宅,均价 24300元/平,绍兴荣杭房地产开发有限公司
住宅,均价 14500元/平,浙江嘉兴金乾房地产开发有限公司
商业,均价 30000元/平,嘉凯城城镇化建设发展(绍兴)有限公司
住宅,均价 7600元/平,绍兴瑜杰房地产开发有限公司
商业,均价 30000元/平,绍兴新滨房地产开发有限公司
别墅,总价 647-665(万/套),暂无信息
住宅,均价 27600元/平,保亿悦城（绍兴）房地产开发有限公司
住宅,均价 15500元/平,海宁鸿恩置业有限公司
别墅,总价 1100(万/套),诸暨颐和置业有限公司
住宅,均价 24300元/平,绍兴香州置业有限公司
住宅,均价 19800元/平,绍兴益驰置业有限公司
别墅,总价 400-637(万/套),绍兴颐康置业有限公司
住宅,均价 23500元/平,绍兴星尚置业有限公司
住宅,均价 21666元/平,武汉地产绍兴统建城市开发有限公司
住宅,均价 23800元/平,绍兴金翎置业有限公司
住宅,均价 12500元/平,绍兴柯桥宝红房地产开发有限公司
住宅,均价 18500元/平,绍兴聚嵘置业有限公司
商业,均价 30000元/平,绍兴可萌房地产开发有限公司
住宅,均价 9380元/平,绍兴鸿裕置业有限公司
住宅,均价 15800元/平,桐乡市匠心房地产开发有限公司
住宅,均价 17500元/平,桐乡市嘉筑置业有限公司
住宅,均价 16900元/平,嘉善骏跃房地产开发有限公司
住宅,均价 18000元/平,嘉善县世纪房产开发有限公司
住宅,均价 13750元/平,浙江科大实业投资集团有限公司
别墅,总价 230-310(万/套),绍兴市上虞舜泰房产开发有限公司
住宅,均价 24500元/平,海宁鸿杭置业有限公司
住宅,均价 14000元/平,海宁金越房地产开发有限公司
住宅,均价 13000元/平,暂无信息
住宅,均价 25000元/平,浙江万城实业集团有限公司
商业,均价 11000元/平,绍兴远大房地产开发有限公司
住宅,均价 12000元/平,海宁华欣房产有限公司
别墅,总价 271-311(万/套),海宁华欣房产有限公司
商业类,均价 11000元/平,诸暨颐和置业有限公司
别墅,总价 416-680(万/套),湖州海王康山置业发展有限公司
住宅,均价 13000元/平,浙江万城实业集团有限公司
住宅,均价 8800元/平,嵊州新邻里置业有限公司
住宅,均价 24500元/平,浙江万城实业集团有限公司
住宅,均价 13300元/平,宁波杭州湾新区海鹏置业有限公司
住宅,均价 22400元/平,融创
住宅,均价 13770元/平,绍兴亿晋房地产开发有限公司
住宅,均价 18963元/平,桐乡市濮院旅游有限公司
住宅,均价 12650元/平,嘉兴市嘉川房地产开发有限公司
住宅,均价 8500元/平,暂无信息
别墅,总价 450(万/套),嘉兴市嘉川房地产开发有限公司
住宅,均价 14000元/平,绍兴明石置业有限公司
住宅,均价 15500元/平,湖州美安置业有限公司
