楼盘性质,楼盘单价,开发商名
别墅,价格待定,杭州鑫贤置业有限公司
别墅,总价 526(万/套),杭州滨宏房地产开发有限公司
住宅,价格待定,杭州万霖置业有限公司
住宅,价格待定,杭州越荣房地产开发有限公司
住宅,均价 21300元/平,杭州碧辰置业有限公司
住宅,均价 26318元/平,浙江德盛置业有限公司
商业类,均价 23000元/平,杭州开元世纪置业有限公司
住宅,价格待定,杭州金昇房地产开发有限公司
住宅,均价 56000元/平,绿地控股集团杭州东城房地产开发有限公司
底商,价格待定,杭州西溪汇金置业有限公司 
住宅,价格待定,杭州景帆置业有限公司
住宅,均价 18156元/平,杭州碧悦置业有限公司
住宅,均价 11500元/平,杭州晶华房地产开发有限公司
别墅,总价 400(万/套),杭州恺泽房地产开发有限公司
住宅,均价 45800元/平,杭州三湘印象置业有限公司
住宅,均价 29800元/平,杭州绿城朝阳置业有限公司
别墅,总价 260(万/套),杭州绿城朝阳置业有限公司
住宅,价格待定,浙江建投发展房地产开发有限公司
商业类,价格待定,杭州威新房地产开发有限公司
住宅,价格待定,汇耀置业（杭州）有限公司
住宅,价格待定,浙江中大正能量房地产有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州滨江盛元海岸房地产开发有限公司
住宅,价格待定,杭州天名房地产有限公司
住宅,价格待定,杭州贝利金都置业有限公司
别墅,价格待定,保亿置业（杭州）有限公司
住宅,均价 70000元/平,杭州世茂嘉年华置业有限公司
住宅,价格待定,杭州新城创盛房地产开发有限公司
别墅,价格待定,杭州贝利金都置业有限公司
住宅,价格待定,杭州紫元康盛房地产开发有限公司
住宅,价格待定,暂无信息
住宅,价格待定,暂无信息
住宅,价格待定,杭州昆盛房地产开发有限公司
住宅,均价 35000元/平,杭州中栋房地产开发有限公司
住宅,价格待定,杭州臻博房地产开发有限公司
住宅,价格待定,杭州振兴置业投资有限公司
住宅,价格待定,浙江运河协安置业有限公司
住宅,价格待定,杭州保利建锦房地产开发有限公司 
商业类,均价 29000元/平,杭州新天地集团有限公司
住宅,价格待定,杭州首开龙泰房地产开发有限公司
住宅,价格待定,杭州旭开置业有限公司
别墅,总价 1180(万/套),杭州振兴置业投资有限公司
住宅,均价 31000元/平,杭州嘉凯城滨虹房地产开发有限公司
住宅,价格待定,杭州德城置业有限公司
住宅,价格待定,暂无信息
住宅,价格待定,杭州博越房地产开发有限公司
住宅,价格待定,暂无信息
住宅,价格待定,暂无信息
住宅,价格待定,杭州铭昇达房地产开发有限公司
商业类,价格待定,暂无信息
住宅,价格待定,杭州滨绿房地产开发有限公司
商业类,价格待定,杭州中栋房地产开发有限公司
商业类,价格待定,杭州中大圣马置业有限公司
住宅,价格待定,杭州晶立置业有限公司
住宅,价格待定,杭州余杭雅居乐房地产开发有限公司
住宅,价格待定,暂无信息
