,楼盘性质,楼盘单价,开发商名
0,住宅,均价 28500元/平,杭州滨信置业有限公司
1,住宅,均价 38000元/平,杭州荣耀盛灏置业有限公司
2,住宅,均价 14600元/平,杭州兴浦置业有限公司
3,住宅,均价 30000元/平,杭州融荣房地产开发有限公司
4,住宅,均价 22000元/平,杭州绿城浙诗置业有限公司
5,商业类,均价 23000元/平,杭州润庆置业有限公司
6,商业类,均价 32000元/平,杭州同达置业有限公司
7,商业类,均价 80000元/平,浙江久光房地产开发有限公司
8,商业类,均价 40000元/平,杭州盛寅房地产开发有限公司
9,商业类,均价 42000元/平,杭州禾睿房地产开发有限公司
10,住宅,均价 12800元/平,临安置润房产开发有限公司
11,别墅,总价 540-1020(万/套),浙江大华房地产开发有限公司
12,住宅,均价 15600元/平,杭州金宇房地产开发有限公司
13,住宅,均价 20600元/平,杭州富阳永通房地产开发有限公司
14,别墅,价格待定,杭州绿城凤起置业有限公司
15,写字楼,均价 27000元/平,杭州世茂瑞盈置业有限公司 
16,商业类,均价 32000元/平,中铁房地产集团华东有限公司
17,商业类,均价 20000元/平,杭州复曼达置业有限公司
18,住宅,均价 48000元/平,浙江东霖房地产开发有限公司
19,别墅,总价 880-1300(万/套),杭州中港绿泰房地产开发有限公司
20,写字楼,均价 26000元/平,杭州金骏房地产开发有限公司
21,别墅,总价 267-420(万/套),富汇房地产开发（富阳）有限公司 
22,住宅,均价 14500元/平,淳安怡和置业有限公司
23,住宅,均价 22000元/平,杭州新天地集团有限公司
24,写字楼,均价 23000元/平,杭州万通时尚置业有限公司
25,写字楼,均价 27000元/平,浙江正凯置业有限公司
26,写字楼,均价 30000元/平,浙江浙创置业有限公司
27,商业,均价 30000元/平,杭州蓝源置业有限公司
28,商业类,均价 40000元/平,杭州汇辉置业有限公司
29,写字楼,均价 19000元/平,浙江众安房地产开发有限公司
30,商业类,均价 50000元/平,亚洲包装中心有限公司
31,商业类,均价 20000元/平,杭州加悦都实业有限公司
